constituency_name,region_name,country_name,constituency_type,2017_con,2017_lab,2017_ld,2017_ukip,2017_green,2017_snp,2017_pc,2017_dup,2017_sf,2017_sdlp,2017_uup,2017_alliance,2017_other,2019_con,2019_lab,2019_ld,2019_brexit,2019_green,2019_snp,2019_pc,2019_dup,2019_sf,2019_sdlp,2019_uup,2019_alliance,2019_other
Barnsley Central,Yorkshire and The Humber,England,Borough,0.241,0.639,0.014,0.085,0.015,0,0,0,0,0,0,0,0.005,0.214,0.401,0.032,0.304,0.024,0,0,0,0,0,0,0,0.024
Barnsley East,Yorkshire and The Humber,England,County,0.27,0.595,0.018,0.08,0,0,0,0,0,0,0,0,0.037,0.273,0.376,0.035,0.292,0.024,0,0,0,0,0,0,0,0
Barrow and Furness,North West,England,County,0.47,0.475,0.027,0.02,0.008,0,0,0,0,0,0,0,0,0.519,0.393,0.044,0.029,0.015,0,0,0,0,0,0,0,0
Basildon and Billericay,East,England,Borough,0.61,0.311,0.034,0.045,0,0,0,0,0,0,0,0,0,0.671,0.208,0.085,0,0.032,0,0,0,0,0,0,0,0.005
Basingstoke,South East,England,Borough,0.527,0.358,0.061,0.03,0.02,0,0,0,0,0,0,0,0.004,0.541,0.281,0.125,0,0.039,0,0,0,0,0,0,0,0.014
Bassetlaw,East Midlands,England,County,0.433,0.526,0.022,0,0,0,0,0,0,0,0,0,0.019,0.552,0.277,0.066,0.106,0,0,0,0,0,0,0,0,0
Bath,South West,England,Borough,0.358,0.147,0.473,0,0.023,0,0,0,0,0,0,0,0,0.309,0.127,0.545,0.012,0,0,0,0,0,0,0,0,0.007
Batley and Spen,Yorkshire and The Humber,England,Borough,0.388,0.555,0.023,0,0.013,0,0,0,0,0,0,0,0.021,0.36,0.427,0.047,0.032,0.013,0,0,0,0,0,0,0,0.122
Battersea,London,England,Borough,0.415,0.459,0.08,0.006,0.016,0,0,0,0,0,0,0,0.023,0.361,0.455,0.153,0.006,0.025,0,0,0,0,0,0,0,0
Beaconsfield,South East,England,County,0.653,0.214,0.079,0.029,0.025,0,0,0,0,0,0,0,0,0.561,0.099,0,0,0.035,0,0,0,0,0,0,0,0.304
Beckenham,London,England,Borough,0.593,0.301,0.079,0,0.027,0,0,0,0,0,0,0,0,0.54,0.258,0.162,0,0.041,0,0,0,0,0,0,0,0
Bedford,East,England,Borough,0.452,0.468,0.059,0,0.021,0,0,0,0,0,0,0,0,0.43,0.433,0.097,0.019,0.02,0,0,0,0,0,0,0,0
Belfast East,Northern Ireland,Northern Ireland,Borough,0.01,0,0,0,0.013,0,0,0.558,0.021,0.004,0.033,0.36,0.001,0,0,0,0,0,0,0,0.492,0,0,0.059,0.449,0
Belfast North,Northern Ireland,Northern Ireland,Borough,0,0,0,0,0.014,0,0,0.462,0.417,0.045,0,0.054,0.008,0,0,0,0,0,0,0,0.431,0.471,0,0,0.098,0
Belfast South,Northern Ireland,Northern Ireland,Borough,0.006,0,0,0,0.051,0,0,0.304,0.163,0.259,0.035,0.182,0,0,0,0,0,0,0,0,0.247,0,0.572,0.027,0.143,0.012
Belfast West,Northern Ireland,Northern Ireland,Borough,0,0,0,0,0,0,0,0.134,0.667,0.07,0,0.018,0.11,0,0,0,0,0,0,0,0.135,0.538,0.077,0,0.049,0.202
Bermondsey and Old Southwark,London,England,Borough,0.13,0.532,0.311,0.014,0.011,0,0,0,0,0,0,0,0.002,0.165,0.541,0.266,0.028,0,0,0,0,0,0,0,0,0
Berwickshire_ Roxburgh and Selkirk,Scotland,Scotland,County,0.539,0.086,0.047,0,0,0.328,0,0,0,0,0,0,0,0.484,0.047,0.081,0,0,0.388,0,0,0,0,0,0,0
Berwick-Upon-Tweed,North East,England,County,0.525,0.246,0.211,0,0.019,0,0,0,0,0,0,0,0,0.569,0.216,0.182,0,0.033,0,0,0,0,0,0,0,0
Bethnal Green and Bow,London,England,Borough,0.127,0.718,0.05,0.015,0.025,0,0,0,0,0,0,0,0.065,0.108,0.727,0.097,0.018,0.042,0,0,0,0,0,0,0,0.007
Beverley and Holderness,Yorkshire and The Humber,England,County,0.584,0.332,0.05,0,0.013,0,0,0,0,0,0,0,0.021,0.621,0.239,0.087,0,0.026,0,0,0,0,0,0,0,0.027
Bexhill and Battle,South East,England,County,0.62,0.247,0.075,0.034,0.024,0,0,0,0,0,0,0,0,0.636,0.195,0.123,0,0.046,0,0,0,0,0,0,0,0
Bexleyheath and Crayford,London,England,Borough,0.556,0.355,0.027,0.043,0.013,0,0,0,0,0,0,0,0.006,0.598,0.295,0.065,0,0.03,0,0,0,0,0,0,0,0.012
Birkenhead,North West,England,Borough,0.184,0.769,0.026,0,0.022,0,0,0,0,0,0,0,0,0.131,0.59,0.038,0.035,0.033,0,0,0,0,0,0,0,0.172
Birmingham_ Edgbaston,West Midlands,England,Borough,0.395,0.553,0.036,0,0.013,0,0,0,0,0,0,0,0.004,0.369,0.501,0.079,0.025,0.026,0,0,0,0,0,0,0,0
Birmingham_ Erdington,West Midlands,England,Borough,0.384,0.58,0.02,0,0.016,0,0,0,0,0,0,0,0,0.401,0.503,0.037,0.041,0.018,0,0,0,0,0,0,0,0
Birmingham_ Hall Green,West Midlands,England,Borough,0.151,0.776,0.058,0,0.015,0,0,0,0,0,0,0,0,0.139,0.678,0.069,0.017,0.015,0,0,0,0,0,0,0,0.081
Birmingham_ Hodge Hill,West Midlands,England,Borough,0.142,0.811,0.017,0.022,0.008,0,0,0,0,0,0,0,0,0.15,0.787,0.017,0.034,0.007,0,0,0,0,0,0,0,0.006
Birmingham_ Ladywood,West Midlands,England,Borough,0.132,0.827,0.028,0,0.013,0,0,0,0,0,0,0,0,0.113,0.792,0.053,0.02,0.022,0,0,0,0,0,0,0,0
Birmingham_ Northfield,West Midlands,England,Borough,0.427,0.532,0.022,0,0.019,0,0,0,0,0,0,0,0,0.463,0.425,0.046,0.038,0.022,0,0,0,0,0,0,0,0.006
Birmingham_ Perry Barr,West Midlands,England,Borough,0.265,0.681,0.024,0,0.013,0,0,0,0,0,0,0,0.016,0.268,0.631,0.045,0.033,0.02,0,0,0,0,0,0,0,0.004
Birmingham_ Selly Oak,West Midlands,England,Borough,0.319,0.629,0.034,0,0.018,0,0,0,0,0,0,0,0,0.309,0.56,0.064,0.029,0.037,0,0,0,0,0,0,0,0
Birmingham_ Yardley,West Midlands,England,Borough,0.198,0.571,0.179,0.043,0.006,0,0,0,0,0,0,0,0.002,0.298,0.548,0.088,0.053,0.014,0,0,0,0,0,0,0,0
Bishop Auckland,North East,England,County,0.469,0.481,0.027,0,0,0,0,0,0,0,0,0,0.023,0.537,0.359,0.048,0.056,0,0,0,0,0,0,0,0,0
Blackburn,North West,England,Borough,0.269,0.698,0.015,0,0,0,0,0,0,0,0,0,0.018,0.24,0.649,0.025,0.062,0.017,0,0,0,0,0,0,0,0.007
Blackley and Broughton,North West,England,Borough,0.216,0.704,0.018,0.045,0.012,0,0,0,0,0,0,0,0.004,0.246,0.619,0.041,0.071,0.024,0,0,0,0,0,0,0,0
Blackpool North and Cleveleys,North West,England,Borough,0.494,0.445,0.018,0.034,0.009,0,0,0,0,0,0,0,0,0.576,0.355,0.039,0,0.019,0,0,0,0,0,0,0,0.011
Blackpool South,North West,England,Borough,0.431,0.503,0.018,0.038,0.01,0,0,0,0,0,0,0,0,0.496,0.383,0.031,0.061,0.017,0,0,0,0,0,0,0,0.011
Blaenau Gwent,Wales,Wales,County,0.148,0.58,0.009,0.03,0,0,0.212,0,0,0,0,0,0.021,0.19,0.492,0.043,0.206,0.013,0,0.057,0,0,0,0,0,0
Blaydon,North East,England,Borough,0.281,0.561,0.091,0.051,0.012,0,0,0,0,0,0,0,0.004,0.312,0.433,0.081,0.128,0.028,0,0,0,0,0,0,0,0.018
Blyth Valley,North East,England,Borough,0.373,0.559,0.046,0,0.022,0,0,0,0,0,0,0,0,0.427,0.409,0.053,0.083,0.028,0,0,0,0,0,0,0,0
Bognor Regis and Littlehampton,South East,England,County,0.59,0.249,0.065,0.036,0.019,0,0,0,0,0,0,0,0.041,0.635,0.196,0.11,0,0.036,0,0,0,0,0,0,0,0.024
Bolsover,East Midlands,England,County,0.406,0.519,0.029,0.046,0,0,0,0,0,0,0,0,0,0.474,0.359,0.038,0.09,0.017,0,0,0,0,0,0,0,0.021
Bolton North East,North West,England,Borough,0.422,0.506,0.029,0.035,0.008,0,0,0,0,0,0,0,0,0.454,0.445,0.042,0.043,0.016,0,0,0,0,0,0,0,0
Bolton South East,North West,England,Borough,0.297,0.607,0.018,0.066,0.013,0,0,0,0,0,0,0,0,0.343,0.53,0.035,0.073,0.019,0,0,0,0,0,0,0,0
Bolton West,North West,England,County,0.479,0.461,0.029,0.031,0,0,0,0,0,0,0,0,0,0.553,0.373,0.055,0,0.019,0,0,0,0,0,0,0,0
Bootle,North West,England,Borough,0.12,0.84,0.017,0,0.014,0,0,0,0,0,0,0,0.008,0.092,0.794,0.037,0.053,0.024,0,0,0,0,0,0,0,0
Boston and Skegness,East Midlands,England,County,0.636,0.25,0.018,0.077,0.013,0,0,0,0,0,0,0,0.007,0.767,0.152,0.047,0,0,0,0,0,0,0,0,0,0.034
